,district,avg_predict,,
1,北投區,1.26929524040681,,
2,大安區,1.29625341451441,,
3,大同區,1.27825844603159,,
4,南港區,1.30890960471908,,
5,內湖區,1.30552731560501,,
6,士林區,1.31237172537092,,
7,松山區,1.2826467982958,,
8,萬華區,1.27370616342116,,
9,文山區,1.28543868272307,,
10,信義區,1.28472261448132,,
11,中山區,1.2545114273303,,
12,中正區,1.33511140193507,,
