"","Count","lng","lat","district","town","Predicty4"
"85",3,121.5547389,25.0006012,"文山區","興得里",1.52594818432918
"86",3,121.607549,25.074941,"內湖區","金湖里",NA
"87",3,121.5599568,25.0370637,"信義區","正和里",1.57672955184296
"88",3,121.541298,24.990665,"文山區","景行里",NA
"89",3,121.5654357,25.0648388,"松山區","莊敬里",NA
"90",3,121.5963989,25.0851655,"內湖區","金龍里",1.68629928009242
"91",3,121.5331202,25.0459971,"中山區","朱園里",1.54274725604959
"92",3,121.607549,25.074941,"內湖區","金湖里",NA
"93",3,121.590043,25.0484506,"南港區","聯成里",NA
"94",3,121.569275,25.022217,"信義區","泰和里",NA
"95",3,121.541298,24.990665,"文山區","景行里",NA
"96",3,121.541298,24.990665,"文山區","景行里",1.68955628839202
"97",3,121.528236,25.121461,"士林區","天玉里",NA
"98",3,121.500986,25.01879,"萬華區","興德里",NA
"99",3,121.5276655,25.0396222,"中正區","文北里",1.94562688284552
"100",3,121.5276655,25.0396222,"中正區","文北里",1.34448494783532
"101",3,121.5359222,25.118853,"士林區","天和里",1.73874099519788
"102",3,121.607549,25.074941,"內湖區","金湖里",2.03947734504435
"103",3,121.5780915,25.0764907,"內湖區","港墘里",1.46533713401412
"104",3,121.5599568,25.0370637,"信義區","正和里",1.52931216957495
"105",3,121.5964517,25.0805532,"內湖區","清白里",2.16215430826907
"106",3,121.569275,25.022217,"信義區","泰和里",1.59125008424282
"107",3,121.5612123,25.0609474,"松山區","東榮里",1.28545435818225
"108",3,121.5705365,25.0481141,"信義區","雅祥里",1.42071024612259
"109",3,121.5359222,25.118853,"士林區","天和里",1.53084029474032
"110",3,121.5583909,25.0850445,"內湖區","西康里",1.31341857041056
"111",3,121.5200577,25.022335,"中正區","網溪里",1.7540780359158
"112",3,121.5310741,25.1128127,"士林區","天祿里",1.66407414236199
"113",3,121.5187509,25.0826351,"士林區","福華里",1.55282845303515
"114",3,121.5187509,25.0826351,"士林區","福華里",1.52519756451408
"115",3,121.591747,25.085749,"內湖區","金龍里",1.58644130224031
"116",3,121.5331202,25.0459971,"中山區","朱園里",1.12775590997759
"117",3,121.5612123,25.0609474,"松山區","東榮里",1.64983860337722
"118",3,121.5612123,25.0609474,"松山區","東榮里",1.78108516910315
"119",3,121.5543071,24.9824252,"文山區","樟文里",1.76551597430113
"120",3,121.590043,25.0484506,"南港區","聯成里",1.43206489869537
"121",3,121.5391739,25.1094352,"士林區","芝山里",NA
"122",3,121.5391739,25.1094352,"士林區","芝山里",NA
"123",3,121.498114,25.136317,"北投區","長安里",1.9029483782211
"124",3,121.498114,25.136317,"北投區","長安里",1.82291458449493
"125",3,121.518604,25.090747,"士林區","後港里",1.24619130801186
"126",3,121.5331202,25.0459971,"中山區","朱園里",1.86630637339429
"127",3,121.5780915,25.0764907,"內湖區","港墘里",1.53606799045192
"128",3,121.5504029,25.0445536,"大安區","建安里",1.70279770186999
"129",3,121.5612123,25.0609474,"松山區","東榮里",1.44517287976219
"130",3,121.5780915,25.0764907,"內湖區","港墘里",1.5280642844846
"131",3,121.5276655,25.0396222,"中正區","文北里",0.472058259579572
"132",3,121.5504029,25.0445536,"大安區","建安里",1.61526498364811
"133",3,121.5391739,25.1094352,"士林區","芝山里",1.49089112384105
"134",3,121.5391739,25.1094352,"士林區","芝山里",1.61558605843375
"135",3,121.590043,25.0484506,"南港區","聯成里",1.24261658341515
"136",3,121.500986,25.01879,"萬華區","興德里",1.40127759473845
"137",3,121.5964517,25.0805532,"內湖區","清白里",1.26658414026321
"138",3,121.5963989,25.0851655,"內湖區","金龍里",1.50839511269183
"139",3,121.5105252,25.0840708,"士林區","葫東里",1.43445252825106
"140",3,121.576419,25.0836,"內湖區","港華里",1.63986401928405
"141",3,121.576419,25.0836,"內湖區","港華里",NA
"142",3,121.498114,25.136317,"北投區","長安里",1.85125627896403
"143",3,121.569275,25.022217,"信義區","泰和里",1.55349155938572
"144",3,121.5562892,25.0527709,"松山區","東勢里",1.58561671224978
"145",3,121.5159984,25.0675785,"大同區","斯文里",1.50568202990739
"146",3,121.5359222,25.118853,"士林區","天和里",1.32071019200713
"147",3,121.5657668,25.0597192,"松山區","富錦里",1.60396818201652
"148",3,121.5200577,25.022335,"中正區","網溪里",1.51192037757261
"149",3,121.498114,25.136317,"北投區","長安里",1.76517513545256
"150",3,121.5963989,25.0851655,"內湖區","金龍里",1.48730677954992
"151",3,121.5963989,25.0851655,"內湖區","金龍里",1.52629193237033
"152",3,121.5562892,25.0527709,"松山區","東勢里",1.42765411928073
"153",3,121.5562892,25.0527709,"松山區","東勢里",1.57080169549949
"154",3,121.5331202,25.0459971,"中山區","朱園里",1.58997414411457
"155",3,121.5105252,25.0840708,"士林區","葫東里",1.76236809862774
"156",3,121.5105252,25.0840708,"士林區","葫東里",1.61103302860359
"157",3,121.5331202,25.0459971,"中山區","朱園里",1.3191771435782
