里,兄弟姊妹間暴力,老人保護,兒少保護,其他家虐,親密關係,各里總案件數,女,男,小於18歲,18到65歲,大於65歲,兄弟姊妹間暴力Rank,老人保護Rank,兒少保護Rank,其他家虐Rank,親密關係Rank,低收Rank,障礙Rank
臺北市中正區永昌里,,1,,6,3,10,80.00%,20.00%,20%,70%,10%,,0%,,50%,5%,34%,0%
臺北市大安區錦泰里,,2,1,1,6,10,70.00%,30.00%,10%,80%,10%,,50%,0%,0%,20%,0%,0%
臺北市大安區正聲里,,1,1,3,5,10,90.00%,10.00%,10%,80%,10%,,0%,0%,16%,14%,0%,0%
臺北市大安區古莊里,,1,,2,7,10,70.00%,30.00%,0%,100%,0%,,0%,,7%,27%,0%,0%
臺北市松山區美仁里,,,1,,8,9,55.56%,44.44%,33%,67%,0%,,,0%,,34%,0%,0%
臺北市北投區泉源里,,,,7,2,9,66.67%,33.33%,0%,67%,33%,,,,59%,2%,0%,0%
臺北市北投區立賢里,2,,1,3,3,9,88.89%,11.11%,0%,89%,11%,70.00%,,0%,16%,5%,0%,0%
臺北市文山區萬年里,2,,,3,4,9,77.78%,22.22%,11%,67%,22%,70.00%,,,16%,8%,0%,0%
臺北市中正區龍福里,2,1,1,1,4,9,33.33%,66.67%,11%,56%,33%,70.00%,0%,0%,0%,8%,0%,0%
臺北市中正區東門里,,,,4,5,9,44.44%,55.56%,11%,78%,11%,,,,30%,14%,0%,0%
臺北市中正區幸市里,,,,2,7,9,88.89%,11.11%,11%,78%,11%,,,,7%,27%,0%,0%
臺北市中山區埤頭里,1,,3,2,3,9,66.67%,33.33%,11%,67%,22%,0.00%,,73%,7%,5%,0%,0%
臺北市中山區力行里,1,1,,6,1,9,77.78%,22.22%,0%,100%,0%,0.00%,0%,,50%,0%,0%,0%
臺北市大安區龍雲里,1,,,4,4,9,66.67%,33.33%,22%,56%,22%,0.00%,,,30%,8%,0%,0%
臺北市大安區龍坡里,,1,,4,4,9,55.56%,44.44%,0%,89%,11%,,0%,,30%,8%,0%,0%
臺北市大安區古風里,,,1,2,6,9,55.56%,44.44%,22%,78%,0%,,,0%,7%,20%,0%,0%
臺北市大安區仁慈里,,2,1,1,5,9,88.89%,11.11%,11%,67%,22%,,50%,0%,0%,14%,0%,1%
臺北市士林區永福里,,1,1,5,2,9,77.78%,22.22%,0%,100%,0%,,0%,0%,39%,2%,0%,1%
臺北市萬華區福音里,,1,1,1,5,8,62.50%,37.50%,0%,75%,25%,,0%,0%,0%,14%,0%,0%
臺北市信義區四維里,,4,2,,2,8,37.50%,62.50%,0%,88%,13%,,91%,43%,,2%,0%,1%
臺北市信義區六藝里,,2,1,1,4,8,75.00%,25.00%,13%,63%,25%,,50%,0%,0%,8%,0%,0%
臺北市松山區松基里,1,,2,1,4,8,87.50%,12.50%,0%,75%,25%,0.00%,,43%,0%,8%,0%,0%
臺北市松山區中華里,,1,,4,3,8,62.50%,25.00%,13%,50%,38%,,0%,,30%,5%,0%,0%
臺北市北投區豐年里,,1,,1,6,8,87.50%,12.50%,0%,75%,25%,,0%,,0%,20%,71%,1%
臺北市北投區吉利里,1,1,,3,3,8,75.00%,25.00%,25%,75%,0%,0.00%,0%,,16%,5%,0%,0%
臺北市北投區石牌里,,,,3,5,8,87.50%,12.50%,0%,88%,13%,,,,16%,14%,34%,0%
臺北市北投區文化里,,,,2,6,8,87.50%,12.50%,0%,75%,25%,,,,7%,20%,0%,0%
臺北市文山區萬和里,,2,,,6,8,62.50%,37.50%,13%,63%,25%,,50%,,,20%,0%,0%
臺北市中正區愛國里,,1,1,2,4,8,75.00%,25.00%,13%,75%,13%,,0%,0%,7%,8%,0%,0%
臺北市中山區龍洲里,,,,4,4,8,62.50%,25.00%,13%,75%,13%,,,,30%,8%,0%,1%
臺北市中山區正守里,1,,,2,5,8,87.50%,12.50%,0%,75%,25%,0.00%,,,7%,14%,0%,0%
